token,sentiment,polarity
abandon,-0.5,-1
abandonment,-0.6,-1
abate,-0.2,-1
abatement,0,0
abdicate,-0.2,-1
abdication,-0.25,-1
aberrant,-0.4,-1
aberration,-0.45,-1
aberrational,-0.25,-1
abet,-0.35,-1
abeyance,-0.5,-1
abeyances,-0.3,-1
abide,0.2,1
abject,-0.15,-1
able,0.3,1
abnormal,-0.3,-1
abnormality,-0.25,-1
abnormally,-0.3,-1
abolish,-0.25,-1
abort,-0.5,-1
aborted,-0.45,-1
abortive,-0.5,-1
abound,0.45,1
abovementioned,0,0
abreast,0.25,1
abrogate,-0.1,-1
abrogation,-0.35,-1
abrupt,-0.3,-1
abruptly,-0.2,-1
abruptness,-0.4,-1
absence,-0.3,-1
absent,-0.25,-1
absenteeism,-0.4,-1
absolute,0.2,1
absolve,0.1,1
absorb,0.3,1
absorption,0.25,1
abstain,0,0
absurd,-0.45,-1
absurdity,-0.4,-1
abundance,0.75,1
abundant,0.75,1
abuse,-0.45,-1
abused,-0.9,-1
abusive,-0.7,-1
abusively,-0.8,-1
abusiveness,-0.7,-1
abuzz,0.4,1
abysmal,-0.55,-1
abyss,-0.45,-1
accelerate,0.6,1
accelerated,0.6,1
acceleration,0.5,1
accentuate,0.35,1
accept,0.35,1
acceptable,0.45,1
acceptance,0.35,1
accessibility,0.5,1
accessible,0.4,1
accession,0.2,1
accident,-0.3,-1
accidental,-0.25,-1
accidentally,-0.4,-1
acclaim,0.65,1
acclaimed,0.5,1
accolade,0.5,1
accommodate,0.45,1
accommodative,0.55,1
accompany,0,0
accomplice,-0.3,-1
accomplish,0.8,1
accomplishment,0.7,1
accord,0.3,1
accordance,0.25,1
account,0,0
accountability,0.4,1
accountable,0.4,1
accredit,0.45,1
accrue,0.5,1
accumulate,0.35,1
accuracy,0.95,1
accurate,0.5,1
accusation,-0.3,-1
accuse,-0.2,-1
accustom,0.2,1
achievable,0.45,1
achieve,0.65,1
achievement,0.65,1
acid,-0.3,-1
acknowledge,0.5,1
acknowledgment,0.65,1
acquiesce,-0.15,-1
acquire,0.65,1
acquirees,0,0
acquirer,0,0
acquit,0.15,1
acquittal,0,0
acquittance,0.15,1
acquittances,0.1,1
acrimonious,-0.5,-1
act,0.05,1
active,0.35,1
acumen,0.55,1
acute,-0.25,-1
adamant,0.6,1
adaptation,0.4,1
adaptive,0.7,1
addendum,0,0
addict,-0.5,-1
addiction,-0.5,-1
addictive,-0.35,-1
addition,0.3,1
addled,-0.35,-1
adept,0.4,1
adequacy,0.2,1
adequate,0.2,1
adequately,0.3,1
adhere,0.1,1
adherence,0.35,1
adjoin,0.2,1
adjourn,0,0
adjournment,0,0
adjudge,0,0
adjudicate,0,0
adjudication,0,0
adjudicative,0,0
adjudicator,0,0
adjudicatory,0,0
adjustable,0.35,1
adjustment,0.05,1
admirable,0.5,1
admire,0.35,1
admired,0.7,1
admirer,0.35,1
admissibility,0.2,1
admissible,0.2,1
admissibly,0.15,1
admonish,-0.2,-1
adopter,0.1,1
adore,0.6,1
adorn,0.5,1
adrift,-0.3,-1
adroit,0.25,1
adulterate,-0.4,-1
adulteration,-0.6,-1
advance,0.6,1
advancement,0.55,1
advantage,0.75,1
advantageous,0.8,1
advantageously,0.7,1
advent,0,0
adventurous,0.7,1
adversarial,-0.65,-1
adversary,-0.35,-1
adverse,-0.3,-1
adversely,-0.65,-1
adversity,-0.45,-1
advice,0.3,1
advise,0.2,1
affair,-0.1,-1
affect,0,0
affection,0.65,1
affectionate,0.55,1
affidavit,-0.1,-1
affirm,0.4,1
affirmative,0.5,1
afflict,-0.25,-1
affluent,0.8,1
afford,0.5,1
affordability,0.75,1
affordable,0.6,1
aforementioned,0,0
aforesaid,0,0
afraid,-0.5,-1
aftermath,-0.35,-1
aftershock,-0.65,-1
against,-0.25,-1
aggravate,-0.4,-1
aggravation,-0.4,-1
aggression,-0.25,-1
aggressive,-0.45,-1
aggrieve,-0.6,-1
aghast,-0.55,-1
agile,0.3,1
agility,0.55,1
aging,-0.25,-1
agitate,-0.6,-1
agonize,-0.65,-1
agonizing,-0.45,-1
agony,-0.75,-1
agree,0.65,1
agreeable,0.5,1
agreement,0.5,1
aid,0.6,1
ail,-0.45,-1
ailing,-0.3,-1
ailment,-0.25,-1
aim,0,0
akin,0,0
alarm,-0.15,-1
alarmed,-0.3,-1
alarming,-0.35,-1
alcohol,0,0
alert,-0.2,-1
alien,-0.15,-1
alienate,-0.65,-1
alienation,-0.45,-1
align,0.2,1
alignment,0.4,1
alive,0.5,1
allegation,-0.25,-1
allege,0,0
allegedly,0,0
allegiance,0.4,1
alleviate,0.3,1
alliance,0.4,1
allocate,0.2,1
allocation,0.2,1
allot,0.2,1
allowable,0.2,1
allowance,0.4,1
alluring,0.45,1
ally,0.05,1
almighty,0.65,1
almost,0,0
aloof,-0.1,-1
alteration,0,0
altered,0,0
alternate,0.05,1
always,0,0
amalgamate,0,0
amass,0.25,1
amateurish,-0.45,-1
amazed,0.65,1
amazement,0.6,1
amazing,0.75,1
ambiguity,-0.15,-1
ambiguous,-0.1,-1
ambition,0.7,1
ambitious,0.65,1
ambush,-0.65,-1
ameliorate,0.4,1
amenable,0.6,1
